(base) % python dtree.py satellite_training.txt satellite_test.txt optimized
Object Index = 0, Result = 3, True Class = 3, Accuracy = 1
Object Index = 115, Result = 2, True Class = 2, Accuracy = 1
Object Index = 116, Result = 3, True Class = 3, Accuracy = 1
Object Index = 117, Result = 3, True Class = 3, Accuracy = 1
Object Index = 118, Result = 3, True Class = 3, Accuracy = 1
Object Index = 119, Result = 3, True Class = 3, Accuracy = 1
Object Index = 120, Result = 3, True Class = 3, Accuracy = 1
Object Index = 121, Result = 3, True Class = 3, Accuracy = 1
Object Index = 122, Result = 4, True Class = 3, Accuracy = 0
Object Index = 123, Result = 3, True Class = 3, Accuracy = 1
Object Index = 124, Result = 3, True Class = 3, Accuracy = 1
Object Index = 125, Result = 3, True Class = 3, Accuracy = 1
Object Index = 126, Result = 3, True Class = 3, Accuracy = 1
Object Index = 127, Result = 3, True Class = 3, Accuracy = 1
Object Index = 128, Result = 4, True Class = 3, Accuracy = 0
Object Index = 129, Result = 7, True Class = 7, Accuracy = 1
Object Index = 130, Result = 7, True Class = 7, Accuracy = 1
Object Index = 131, Result = 3, True Class = 3, Accuracy = 1
Object Index = 132, Result = 4, True Class = 4, Accuracy = 1
Object Index = 133, Result = 7, True Class = 4, Accuracy = 0
Object Index = 134, Result = 2, True Class = 2, Accuracy = 1
Object Index = 135, Result = 2, True Class = 2, Accuracy = 1
Object Index = 136, Result = 2, True Class = 2, Accuracy = 1
Object Index = 137, Result = 2, True Class = 2, Accuracy = 1
Object Index = 138, Result = 2, True Class = 2, Accuracy = 1
Object Index = 139, Result = 2, True Class = 2, Accuracy = 1
Object Index = 140, Result = 3, True Class = 3, Accuracy = 1
Object Index = 141, Result = 3, True Class = 3, Accuracy = 1
Object Index = 142, Result = 3, True Class = 3, Accuracy = 1
Object Index = 143, Result = 3, True Class = 3, Accuracy = 1
Object Index = 144, Result = 3, True Class = 3, Accuracy = 1
Object Index = 145, Result = 3, True Class = 3, Accuracy = 1
Object Index = 146, Result = 3, True Class = 3, Accuracy = 1
Object Index = 147, Result = 3, True Class = 3, Accuracy = 1
Object Index = 148, Result = 3, True Class = 3, Accuracy = 1
Object Index = 149, Result = 3, True Class = 3, Accuracy = 1
Object Index = 150, Result = 4, True Class = 7, Accuracy = 0
Object Index = 151, Result = 4, True Class = 7, Accuracy = 0
Object Index = 152, Result = 7, True Class = 7, Accuracy = 1
Object Index = 153, Result = 7, True Class = 7, Accuracy = 1
Object Index = 154, Result = 3, True Class = 3, Accuracy = 1
Object Index = 155, Result = 4, True Class = 3, Accuracy = 0
Object Index = 156, Result = 3, True Class = 3, Accuracy = 1
Object Index = 157, Result = 4, True Class = 4, Accuracy = 1
Object Index = 158, Result = 3, True Class = 3, Accuracy = 1
Object Index = 159, Result = 7, True Class = 4, Accuracy = 0
Object Index = 160, Result = 2, True Class = 2, Accuracy = 1
Object Index = 161, Result = 2, True Class = 2, Accuracy = 1
Object Index = 162, Result = 2, True Class = 2, Accuracy = 1
Object Index = 163, Result = 3, True Class = 3, Accuracy = 1
Object Index = 164, Result = 3, True Class = 3, Accuracy = 1
Object Index = 165, Result = 3, True Class = 3, Accuracy = 1
Object Index = 166, Result = 3, True Class = 3, Accuracy = 1
Object Index = 167, Result = 3, True Class = 3, Accuracy = 1
Object Index = 168, Result = 3, True Class = 3, Accuracy = 1
Object Index = 169, Result = 3, True Class = 3, Accuracy = 1
Object Index = 170, Result = 3, True Class = 3, Accuracy = 1
Object Index = 171, Result = 3, True Class = 3, Accuracy = 1
Object Index = 172, Result = 7, True Class = 7, Accuracy = 1
Object Index = 173, Result = 7, True Class = 7, Accuracy = 1
Object Index = 174, Result = 4, True Class = 7, Accuracy = 0
Object Index = 175, Result = 7, True Class = 7, Accuracy = 1
Object Index = 176, Result = 7, True Class = 7, Accuracy = 1
Object Index = 177, Result = 7, True Class = 7, Accuracy = 1
Object Index = 178, Result = 3, True Class = 3, Accuracy = 1
Object Index = 179, Result = 3, True Class = 3, Accuracy = 1
Object Index = 180, Result = 3, True Class = 4, Accuracy = 0
Object Index = 181, Result = 2, True Class = 2, Accuracy = 1
Object Index = 182, Result = 2, True Class = 2, Accuracy = 1
Object Index = 183, Result = 2, True Class = 2, Accuracy = 1
Object Index = 184, Result = 2, True Class = 2, Accuracy = 1
Object Index = 185, Result = 2, True Class = 2, Accuracy = 1
Object Index = 186, Result = 2, True Class = 2, Accuracy = 1
Object Index = 187, Result = 2, True Class = 2, Accuracy = 1
Object Index = 188, Result = 2, True Class = 2, Accuracy = 1
Object Index = 189, Result = 3, True Class = 2, Accuracy = 0
Object Index = 190, Result = 3, True Class = 3, Accuracy = 1
Object Index = 191, Result = 3, True Class = 3, Accuracy = 1
Object Index = 192, Result = 3, True Class = 3, Accuracy = 1
Object Index = 193, Result = 3, True Class = 3, Accuracy = 1
Object Index = 194, Result = 3, True Class = 3, Accuracy = 1
Object Index = 195, Result = 3, True Class = 3, Accuracy = 1
Object Index = 196, Result = 3, True Class = 3, Accuracy = 1
Object Index = 197, Result = 7, True Class = 3, Accuracy = 0
Object Index = 198, Result = 3, True Class = 3, Accuracy = 1
Object Index = 199, Result = 3, True Class = 3, Accuracy = 1
Object Index = 200, Result = 3, True Class = 3, Accuracy = 1
Object Index = 201, Result = 3, True Class = 3, Accuracy = 1
Object Index = 202, Result = 7, True Class = 7, Accuracy = 1
Object Index = 203, Result = 7, True Class = 7, Accuracy = 1
Object Index = 204, Result = 7, True Class = 7, Accuracy = 1
Object Index = 205, Result = 7, True Class = 7, Accuracy = 1
Object Index = 206, Result = 3, True Class = 3, Accuracy = 1
Object Index = 207, Result = 3, True Class = 3, Accuracy = 1
Object Index = 208, Result = 3, True Class = 3, Accuracy = 1
Object Index = 209, Result = 3, True Class = 3, Accuracy = 1
Object Index = 210, Result = 7, True Class = 4, Accuracy = 0
Object Index = 211, Result = 2, True Class = 2, Accuracy = 1
Object Index = 212, Result = 2, True Class = 2, Accuracy = 1
Object Index = 213, Result = 2, True Class = 2, Accuracy = 1
Object Index = 214, Result = 2, True Class = 2, Accuracy = 1
Object Index = 215, Result = 2, True Class = 2, Accuracy = 1
Object Index = 216, Result = 2, True Class = 2, Accuracy = 1
Object Index = 217, Result = 3, True Class = 3, Accuracy = 1
Object Index = 218, Result = 3, True Class = 3, Accuracy = 1
Object Index = 219, Result = 3, True Class = 3, Accuracy = 1
Object Index = 220, Result = 4, True Class = 3, Accuracy = 0
Object Index = 221, Result = 3, True Class = 3, Accuracy = 1
Object Index = 222, Result = 3, True Class = 3, Accuracy = 1
Object Index = 223, Result = 3, True Class = 3, Accuracy = 1
Object Index = 224, Result = 3, True Class = 3, Accuracy = 1
Object Index = 225, Result = 3, True Class = 3, Accuracy = 1
Object Index = 226, Result = 3, True Class = 3, Accuracy = 1
Object Index = 227, Result = 3, True Class = 3, Accuracy = 1
Object Index = 228, Result = 3, True Class = 3, Accuracy = 1
Object Index = 229, Result = 3, True Class = 3, Accuracy = 1
Object Index = 230, Result = 7, True Class = 7, Accuracy = 1
Object Index = 231, Result = 7, True Class = 7, Accuracy = 1
Object Index = 232, Result = 4, True Class = 7, Accuracy = 0
Object Index = 233, Result = 7, True Class = 7, Accuracy = 1
Object Index = 234, Result = 4, True Class = 7, Accuracy = 0
Object Index = 235, Result = 3, True Class = 3, Accuracy = 1
Object Index = 236, Result = 3, True Class = 3, Accuracy = 1
Object Index = 237, Result = 7, True Class = 4, Accuracy = 0
Object Index = 238, Result = 2, True Class = 2, Accuracy = 1
Object Index = 239, Result = 2, True Class = 2, Accuracy = 1
Object Index = 240, Result = 2, True Class = 2, Accuracy = 1
Object Index = 241, Result = 2, True Class = 2, Accuracy = 1
Object Index = 242, Result = 2, True Class = 2, Accuracy = 1
Object Index = 243, Result = 2, True Class = 2, Accuracy = 1
Object Index = 244, Result = 2, True Class = 2, Accuracy = 1
Object Index = 245, Result = 2, True Class = 2, Accuracy = 1
Object Index = 246, Result = 2, True Class = 2, Accuracy = 1
Object Index = 247, Result = 2, True Class = 2, Accuracy = 1
Object Index = 248, Result = 4, True Class = 3, Accuracy = 0
Object Index = 249, Result = 3, True Class = 3, Accuracy = 1
Object Index = 250, Result = 3, True Class = 3, Accuracy = 1
Object Index = 251, Result = 3, True Class = 3, Accuracy = 1
Object Index = 252, Result = 3, True Class = 3, Accuracy = 1
Object Index = 253, Result = 3, True Class = 3, Accuracy = 1
Object Index = 254, Result = 4, True Class = 7, Accuracy = 0
Object Index = 255, Result = 3, True Class = 7, Accuracy = 0
Object Index = 256, Result = 7, True Class = 7, Accuracy = 1
Object Index = 257, Result = 7, True Class = 7, Accuracy = 1
Object Index = 258, Result = 7, True Class = 7, Accuracy = 1
Object Index = 259, Result = 7, True Class = 7, Accuracy = 1
Object Index = 260, Result = 7, True Class = 7, Accuracy = 1
Object Index = 261, Result = 3, True Class = 3, Accuracy = 1
Object Index = 262, Result = 2, True Class = 2, Accuracy = 1
Object Index = 263, Result = 2, True Class = 2, Accuracy = 1
Object Index = 264, Result = 2, True Class = 2, Accuracy = 1
Object Index = 265, Result = 3, True Class = 3, Accuracy = 1
Object Index = 266, Result = 3, True Class = 3, Accuracy = 1
Object Index = 267, Result = 3, True Class = 3, Accuracy = 1
Object Index = 268, Result = 3, True Class = 3, Accuracy = 1
Object Index = 269, Result = 3, True Class = 3, Accuracy = 1
Object Index = 270, Result = 3, True Class = 3, Accuracy = 1
Object Index = 271, Result = 3, True Class = 3, Accuracy = 1
Object Index = 272, Result = 3, True Class = 3, Accuracy = 1
Object Index = 273, Result = 3, True Class = 3, Accuracy = 1
Object Index = 274, Result = 3, True Class = 3, Accuracy = 1
Object Index = 275, Result = 3, True Class = 3, Accuracy = 1
Object Index = 276, Result = 4, True Class = 5, Accuracy = 0
Object Index = 277, Result = 7, True Class = 7, Accuracy = 1
Object Index = 278, Result = 7, True Class = 7, Accuracy = 1
Object Index = 279, Result = 7, True Class = 7, Accuracy = 1
Object Index = 280, Result = 7, True Class = 7, Accuracy = 1
Object Index = 281, Result = 7, True Class = 7, Accuracy = 1
Object Index = 282, Result = 3, True Class = 3, Accuracy = 1
Object Index = 283, Result = 3, True Class = 3, Accuracy = 1
Object Index = 284, Result = 2, True Class = 2, Accuracy = 1
Object Index = 285, Result = 2, True Class = 2, Accuracy = 1
Object Index = 286, Result = 2, True Class = 2, Accuracy = 1
Object Index = 287, Result = 2, True Class = 2, Accuracy = 1
Object Index = 288, Result = 2, True Class = 2, Accuracy = 1
Object Index = 289, Result = 2, True Class = 2, Accuracy = 1
Object Index = 290, Result = 2, True Class = 2, Accuracy = 1
Object Index = 291, Result = 2, True Class = 2, Accuracy = 1
Object Index = 292, Result = 2, True Class = 2, Accuracy = 1
Object Index = 293, Result = 2, True Class = 2, Accuracy = 1
Object Index = 294, Result = 2, True Class = 2, Accuracy = 1
Object Index = 295, Result = 2, True Class = 2, Accuracy = 1
Object Index = 296, Result = 2, True Class = 2, Accuracy = 1
Object Index = 297, Result = 3, True Class = 3, Accuracy = 1
Object Index = 298, Result = 3, True Class = 3, Accuracy = 1
Object Index = 299, Result = 3, True Class = 3, Accuracy = 1
Object Index = 300, Result = 3, True Class = 3, Accuracy = 1
Object Index = 301, Result = 3, True Class = 3, Accuracy = 1
Object Index = 302, Result = 3, True Class = 3, Accuracy = 1
Object Index = 303, Result = 3, True Class = 3, Accuracy = 1
Object Index = 304, Result = 3, True Class = 3, Accuracy = 1
Object Index = 305, Result = 3, True Class = 3, Accuracy = 1
Object Index = 306, Result = 5, True Class = 5, Accuracy = 1
Object Index = 307, Result = 5, True Class = 5, Accuracy = 1
Object Index = 308, Result = 5, True Class = 5, Accuracy = 1
Object Index = 309, Result = 7, True Class = 7, Accuracy = 1
Object Index = 310, Result = 7, True Class = 7, Accuracy = 1
Object Index = 311, Result = 4, True Class = 7, Accuracy = 0
Object Index = 312, Result = 7, True Class = 7, Accuracy = 1
Object Index = 313, Result = 3, True Class = 3, Accuracy = 1
Object Index = 314, Result = 3, True Class = 3, Accuracy = 1
Object Index = 315, Result = 3, True Class = 3, Accuracy = 1
Object Index = 316, Result = 3, True Class = 3, Accuracy = 1
Object Index = 317, Result = 3, True Class = 3, Accuracy = 1
Object Index = 318, Result = 3, True Class = 4, Accuracy = 0
Object Index = 319, Result = 4, True Class = 4, Accuracy = 1
Object Index = 320, Result = 2, True Class = 2, Accuracy = 1
Object Index = 321, Result = 2, True Class = 2, Accuracy = 1
Object Index = 322, Result = 2, True Class = 2, Accuracy = 1
Object Index = 323, Result = 2, True Class = 2, Accuracy = 1
Object Index = 324, Result = 2, True Class = 2, Accuracy = 1
Object Index = 325, Result = 2, True Class = 2, Accuracy = 1
Object Index = 326, Result = 2, True Class = 2, Accuracy = 1
Object Index = 327, Result = 2, True Class = 2, Accuracy = 1
Object Index = 328, Result = 2, True Class = 2, Accuracy = 1
Object Index = 329, Result = 2, True Class = 2, Accuracy = 1
Object Index = 330, Result = 2, True Class = 2, Accuracy = 1
Object Index = 331, Result = 2, True Class = 2, Accuracy = 1
Object Index = 332, Result = 3, True Class = 3, Accuracy = 1
Object Index = 333, Result = 3, True Class = 3, Accuracy = 1
Object Index = 334, Result = 3, True Class = 3, Accuracy = 1
Object Index = 335, Result = 3, True Class = 3, Accuracy = 1
Object Index = 336, Result = 5, True Class = 5, Accuracy = 1
Object Index = 337, Result = 7, True Class = 7, Accuracy = 1
Object Index = 338, Result = 7, True Class = 7, Accuracy = 1
Object Index = 339, Result = 7, True Class = 7, Accuracy = 1
Object Index = 340, Result = 7, True Class = 7, Accuracy = 1
Object Index = 341, Result = 7, True Class = 7, Accuracy = 1
Object Index = 342, Result = 7, True Class = 7, Accuracy = 1
Object Index = 343, Result = 3, True Class = 3, Accuracy = 1
Object Index = 344, Result = 3, True Class = 3, Accuracy = 1
Object Index = 345, Result = 3, True Class = 3, Accuracy = 1
Object Index = 346, Result = 3, True Class = 3, Accuracy = 1
Object Index = 347, Result = 4, True Class = 4, Accuracy = 1
Object Index = 348, Result = 2, True Class = 2, Accuracy = 1
Object Index = 349, Result = 2, True Class = 2, Accuracy = 1
Object Index = 350, Result = 2, True Class = 2, Accuracy = 1
Object Index = 351, Result = 2, True Class = 2, Accuracy = 1
Object Index = 352, Result = 2, True Class = 2, Accuracy = 1
Object Index = 353, Result = 2, True Class = 2, Accuracy = 1
Object Index = 354, Result = 2, True Class = 2, Accuracy = 1
Object Index = 355, Result = 2, True Class = 2, Accuracy = 1
Object Index = 356, Result = 2, True Class = 2, Accuracy = 1
Object Index = 357, Result = 2, True Class = 2, Accuracy = 1
Object Index = 358, Result = 3, True Class = 3, Accuracy = 1
Object Index = 359, Result = 3, True Class = 3, Accuracy = 1
Object Index = 360, Result = 3, True Class = 3, Accuracy = 1
Object Index = 361, Result = 3, True Class = 3, Accuracy = 1
Object Index = 362, Result = 3, True Class = 3, Accuracy = 1
Object Index = 363, Result = 3, True Class = 3, Accuracy = 1
Object Index = 364, Result = 5, True Class = 5, Accuracy = 1
Object Index = 365, Result = 5, True Class = 5, Accuracy = 1
Object Index = 366, Result = 5, True Class = 5, Accuracy = 1
Object Index = 367, Result = 5, True Class = 5, Accuracy = 1
Object Index = 368, Result = 5, True Class = 5, Accuracy = 1
Object Index = 369, Result = 5, True Class = 5, Accuracy = 1
Object Index = 370, Result = 5, True Class = 7, Accuracy = 0
Object Index = 371, Result = 7, True Class = 7, Accuracy = 1
Object Index = 372, Result = 7, True Class = 7, Accuracy = 1
Object Index = 373, Result = 7, True Class = 7, Accuracy = 1
Object Index = 374, Result = 4, True Class = 7, Accuracy = 0
Object Index = 375, Result = 7, True Class = 7, Accuracy = 1
Object Index = 376, Result = 7, True Class = 7, Accuracy = 1
Object Index = 377, Result = 7, True Class = 7, Accuracy = 1
Object Index = 378, Result = 3, True Class = 3, Accuracy = 1
Object Index = 379, Result = 3, True Class = 3, Accuracy = 1
Object Index = 380, Result = 3, True Class = 3, Accuracy = 1
Object Index = 381, Result = 3, True Class = 3, Accuracy = 1
Object Index = 382, Result = 7, True Class = 4, Accuracy = 0
Object Index = 383, Result = 2, True Class = 2, Accuracy = 1
Object Index = 384, Result = 2, True Class = 2, Accuracy = 1
Object Index = 385, Result = 2, True Class = 2, Accuracy = 1
Object Index = 386, Result = 2, True Class = 2, Accuracy = 1
Object Index = 387, Result = 2, True Class = 2, Accuracy = 1
Object Index = 388, Result = 2, True Class = 2, Accuracy = 1
Object Index = 389, Result = 2, True Class = 2, Accuracy = 1
Object Index = 390, Result = 2, True Class = 2, Accuracy = 1
Object Index = 391, Result = 2, True Class = 2, Accuracy = 1
Object Index = 392, Result = 2, True Class = 2, Accuracy = 1
Object Index = 393, Result = 2, True Class = 2, Accuracy = 1
Object Index = 394, Result = 2, True Class = 2, Accuracy = 1
Object Index = 395, Result = 2, True Class = 2, Accuracy = 1
Object Index = 396, Result = 3, True Class = 3, Accuracy = 1
Object Index = 397, Result = 3, True Class = 3, Accuracy = 1
Object Index = 398, Result = 3, True Class = 3, Accuracy = 1
Object Index = 399, Result = 3, True Class = 3, Accuracy = 1
Object Index = 400, Result = 3, True Class = 3, Accuracy = 1
Object Index = 401, Result = 4, True Class = 7, Accuracy = 0
Object Index = 402, Result = 5, True Class = 5, Accuracy = 1
Object Index = 403, Result = 5, True Class = 7, Accuracy = 0
Object Index = 404, Result = 7, True Class = 7, Accuracy = 1
Object Index = 405, Result = 7, True Class = 7, Accuracy = 1
Object Index = 406, Result = 7, True Class = 7, Accuracy = 1
Object Index = 407, Result = 7, True Class = 7, Accuracy = 1
Object Index = 408, Result = 7, True Class = 7, Accuracy = 1
Object Index = 409, Result = 7, True Class = 7, Accuracy = 1
Object Index = 410, Result = 3, True Class = 3, Accuracy = 1
Object Index = 411, Result = 3, True Class = 3, Accuracy = 1
Object Index = 412, Result = 2, True Class = 2, Accuracy = 1
Object Index = 413, Result = 2, True Class = 2, Accuracy = 1
Object Index = 414, Result = 2, True Class = 2, Accuracy = 1
Object Index = 415, Result = 2, True Class = 2, Accuracy = 1
Object Index = 416, Result = 2, True Class = 2, Accuracy = 1
Object Index = 417, Result = 2, True Class = 2, Accuracy = 1
Object Index = 418, Result = 2, True Class = 2, Accuracy = 1
Object Index = 419, Result = 2, True Class = 2, Accuracy = 1
Object Index = 420, Result = 2, True Class = 2, Accuracy = 1
Object Index = 421, Result = 3, True Class = 3, Accuracy = 1
Object Index = 422, Result = 3, True Class = 3, Accuracy = 1
Object Index = 423, Result = 3, True Class = 3, Accuracy = 1
Object Index = 424, Result = 3, True Class = 3, Accuracy = 1
Object Index = 425, Result = 3, True Class = 3, Accuracy = 1
Object Index = 426, Result = 3, True Class = 3, Accuracy = 1
Object Index = 427, Result = 7, True Class = 7, Accuracy = 1
Object Index = 428, Result = 5, True Class = 5, Accuracy = 1
Object Index = 429, Result = 5, True Class = 5, Accuracy = 1
Object Index = 430, Result = 5, True Class = 5, Accuracy = 1
Object Index = 431, Result = 5, True Class = 5, Accuracy = 1
Object Index = 432, Result = 5, True Class = 7, Accuracy = 0
Object Index = 433, Result = 7, True Class = 7, Accuracy = 1
Object Index = 434, Result = 7, True Class = 7, Accuracy = 1
Object Index = 435, Result = 7, True Class = 7, Accuracy = 1
Object Index = 436, Result = 7, True Class = 7, Accuracy = 1
Object Index = 437, Result = 7, True Class = 7, Accuracy = 1
Object Index = 438, Result = 4, True Class = 3, Accuracy = 0
Object Index = 439, Result = 3, True Class = 3, Accuracy = 1
Object Index = 440, Result = 3, True Class = 3, Accuracy = 1
Object Index = 441, Result = 7, True Class = 3, Accuracy = 0
Object Index = 442, Result = 7, True Class = 4, Accuracy = 0
Object Index = 443, Result = 4, True Class = 4, Accuracy = 1
Object Index = 444, Result = 2, True Class = 2, Accuracy = 1
Object Index = 445, Result = 2, True Class = 2, Accuracy = 1
Object Index = 446, Result = 2, True Class = 2, Accuracy = 1
Object Index = 447, Result = 2, True Class = 2, Accuracy = 1
Object Index = 448, Result = 2, True Class = 2, Accuracy = 1
Object Index = 449, Result = 3, True Class = 3, Accuracy = 1
Object Index = 450, Result = 3, True Class = 3, Accuracy = 1
Object Index = 451, Result = 3, True Class = 3, Accuracy = 1
Object Index = 452, Result = 3, True Class = 3, Accuracy = 1
Object Index = 453, Result = 7, True Class = 7, Accuracy = 1
Object Index = 454, Result = 5, True Class = 7, Accuracy = 0
Object Index = 455, Result = 5, True Class = 5, Accuracy = 1
Object Index = 456, Result = 5, True Class = 5, Accuracy = 1
Object Index = 457, Result = 5, True Class = 5, Accuracy = 1
Object Index = 458, Result = 5, True Class = 5, Accuracy = 1
Object Index = 459, Result = 5, True Class = 5, Accuracy = 1
Object Index = 460, Result = 5, True Class = 5, Accuracy = 1
Object Index = 461, Result = 5, True Class = 5, Accuracy = 1
Object Index = 462, Result = 5, True Class = 5, Accuracy = 1
